State,AvgWindSpeed,NumWindTurbines,Cluster
AL,4.817735849056603,0,0
AK,6.429959278650383,141,1
AZ,4.6620754716981105,269,0
AR,3.2981132075471713,1,-1
CA,4.893633633633638,6541,0
CO,4.322830188679246,2764,-1
CT,6.474905660377357,3,1
DE,6.760377358490566,1,2
FL,6.299952830188672,1,1
GA,4.682515723270437,0,0
HI,8.97158490566038,132,-1
ID,4.822452830188679,541,0
IL,7.0817610062893,3308,3
IN,6.836933962264153,1541,2
IA,8.00867924528302,5998,4
KS,8.249496855345908,3723,-1
KY,5.003283018867923,0,0
LA,5.115708812260539,0,-1
ME,5.913647798742142,408,5
MD,5.6275471698113195,80,-1
MA,8.74699346405229,92,-1
MI,5.966897274633118,153,5
MN,7.512603773584907,2688,6
MS,4.747061994609168,0,0
MO,7.061024258760106,1161,3
MT,6.455180102915949,669,1
NE,8.054528301886787,1387,4
NV,5.22446540880503,68,7
NH,18.01789999999999,84,-1
NJ,7.191603773584909,6,8
NM,6.353584905660383,1677,1
NY,6.9299292452830255,1197,2
NC,5.236954177897564,105,7
ND,8.457207547169808,2194,9
OH,7.212156334231806,503,8
OK,8.456792452830182,4642,9
OR,4.863160377358488,2064,0
PA,5.855525606469006,751,5
RI,7.056981132075473,32,3
SC,4.973207547169816,0,0
SD,8.469660377358487,1343,9
TN,4.08238095238095,18,10
TX,7.726422955974852,16963,-1
UT,4.626792452830189,208,0
VT,6.174150943396226,73,-1
VA,5.768571428571426,2,5
WA,4.930781671159025,1825,0
WV,4.146698113207547,396,10
WI,6.741367924528297,451,2
WY,7.461283018867928,1517,6